61-RB38-022,SecondGen,3900
61-RS00M-023,SecondGen,3900
61-RP76M-024,SecondGen,3900
4307PV,Erasmo,65000
4308PV,Erasmo,65000
4309PV,Erasmo,65000
61-RB38M-025,SecondGen,3900
61-RB38M-026,SecondGen,3900
61-RB38M-029,SecondGen,3900
61-RP76P-028,SecondGen,3900
61-RS00P-027,SecondGen,3900
61-RB38M-030,SecondGen,3900
61-RB38M-031,SecondGen,3900
61-RB38M-032,SecondGen,3900
61-RB38M-033,SecondGen,3900
61-RP76P-035,SecondGen,3900
61-RS00P-034,SecondGen,3900
61-RB38P-036,SecondGen,3900
61-RB38P-037,SecondGen,3900
61-RB38P-038,SecondGen,3900
61-RB38P-039,SecondGen,3900
61-RB38-040,SecondGen,3900
61-RB38P-041,SecondGen,3900
61-RB38P-042,SecondGen,3900
61-RP76P-044,SecondGen,3900
61-RS00P-043,SecondGen,3900
61-RB38-045,SecondGen,3900
61-RP76-047,SecondGen,3900
61-RS00-046,SecondGen,3900
61-CS00-068,SecondGen,1900
61-CM00-067,SecondGen,1900
61-CS00-073,SecondGen,1900
61-CS00-070,SecondGen,1900
61-CS00-069,SecondGen,1900
61-CS00-066,SecondGen,1900
61-CM00-048,SecondGen,1900
61-CS00-065,SecondGen,1900
61-CS00-064,SecondGen,1900
61-CS00-061,SecondGen,1900
61-CS00-060,SecondGen,1900
61-CM00-049,SecondGen,1900
61-CS00-054,SecondGen,1900
61-CS00-055,SecondGen,1900
61-CS00-051,SecondGen,1900
61-CS00-057,SecondGen,1900
61-CS00-056,SecondGen,1900
61-CM00-050,SecondGen,1900
61-CS00-058,SecondGen,1900
61-CS00-059,SecondGen,1900
61-CS00-062,SecondGen,1900
61-CS00-052,SecondGen,1900
61-CS00-053,SecondGen,1900
61-CM00-082,SecondGen,1900
61-CS00-083,SecondGen,1900
61-CS00-071,SecondGen,1900
61-CS00-081,SecondGen,1900
61-CS00-072,SecondGen,1900
61-CS00-074,SecondGen,1900
61-CM00-089,SecondGen,1900
61-CS00-086,SecondGen,1900
61-CM00-087,SecondGen,1900
61-CM00-091,SecondGen,1900
61-CS00-092,SecondGen,1900
61-CS00-090,SecondGen,1900
61-CS00-088,SecondGen,1900
61-CS00-085,SecondGen,1900
61-CS00-084,SecondGen,1900
61-CM00-080,SecondGen,1900
61-CS00-079,SecondGen,1900
61-CS00-076,SecondGen,1900
61-CS00-078,SecondGen,1900
61-CS00-075,SecondGen,1900
61093,SecondGen,3900
62004,SecondGen,3900
62006,SecondGen,3900
61094,SecondGen,3900
62005,SecondGen,3900
61095,SecondGen,3900
62002,SecondGen,3900
62003,SecondGen,3900
62001,SecondGen,3900
62007,SecondGen,3900
62008,SecondGen,3900
62009,SecondGen,3900
62010,SecondGen,3900
62011,SecondGen,3900
62012,SecondGen,3900
62014,SecondGen,3900
62015,SecondGen,3900
62013,SecondGen,3900
62017,SecondGen,3900
62018,SecondGen,3900
62022,SecondGen,3900
62021,SecondGen,3900
62023,SecondGen,3900
62025,SecondGen,3900
62024,SecondGen,3900
62027,SecondGen,3900
62026,SecondGen,3900
62028,SecondGen,3900
62029,SecondGen,3900
62016,SecondGen,3900
62030,SecondGen,3900
62032,SecondGen,3900
62020,SecondGen,3900
62031,SecondGen,3900
62033,SecondGen,3900
62034,SecondGen,3900
62035,SecondGen,3900
62036,SecondGen,3900
62037,SecondGen,3900
